KPI,Value
Artist Concentration Index (HHI),113.65529877409254
Unique Artists Count,364.0
Collaboration Ratio (%),18.43525179856115
Explicit Content Share (%),32.05755395683453
Single vs Album Ratio,0.6630871677965084
Diversity Score,0.010356502688707428
Top 5 Market Share (%),15.00554812644038
Top 10 Market Share (%),22.36890773038951
Avg Track Duration (min),3.2891493135491605
Avg Popularity Score,86.79276978417266
